,rmse,mae,r2,model_fp,size_mb
tuned_rf,0.004251071669604497,0.0013469333502399408,0.9936829544358801,models_week5_7/tuned_rf_core.joblib,5.228348731994629
tuned_xgb,1.082936888520224,0.15171444333267786,-408.94297705842007,models_week5_7/tuned_xgb_core.joblib,0.21894264221191406
tuned_mlp,0.01987984311114633,0.012809946464622588,0.8618524901510042,models_week5_7/tuned_mlp_core.joblib,0.4131612777709961
